"date","text","emotion"
"Date:1/19/2022","It was awesome I went to the garden and played with my friends","happiness"
"Date:1/19/2022","It was great","happiness"
"Date:1/19/2022","It was raining today , I cannot go to school","worry"
"Date:9/10/2023", "happiness", "My day was very good! "
"Date:9/10/2023", "I did a coding class today to make an app!", "neutral"
"Date:9/10/2023", "I watched a good game", "happiness"
"Date:9/10/2023", "good", "neutral"
"Date:9/10/2023", "great", "happiness"
"Date:9/10/2023", "awesome", "happiness"
"Date:9/10/2023", "great", "happiness"
"Date:9/10/2023", "amazing", "happiness"
